hwd;pronSampa;ipa
follicle(2);f A l i k @ l;fɑlikəl
hmmm;h m;hm
romagnoli;r\ @U m A g n @U l i:;ɹoʊmɑgnoʊliː
flaugher;f l O: 3:r;flOːɜ:r
nungesser;n V N g i s 3:r;nʌŋgisɜ:r
peres';p E r\ E z;pɛɹɛz
nield;n i: l d;niːld
impugn;i m p j u n;impjun
skillin;s k I l i n;skɪlin
wrona;r\ @U n @;ɹoʊnə
derrickson;d E r\ i k s @ n;dɛɹiksən
preempt;p r\ i: E m p t;pɹiːɛmpt
contemplated;k A n t @ m p l eI 4 i d;kɑntəmpl?ɾid
bernheim;b 3:r n h aI m;bɜ:rnh?m
intoned;i n t @U n d;intoʊnd
salutatorian;s @ l u 4 @ t O: r\ i: @ n;səluɾətOːɹiːən
wadlington;w A d l i N t @ n;wɑdliŋtən
modules;m A dZ u l z;mɑ?ulz
unbeknown;V n b i n @U n;ʌnbinoʊn
waffled;w A f @ l d;wɑfəld
carmon;k A r\ m @ n;kɑɹmən
mccarney;m @ k A r\ n i:;məkɑɹniː
enslin;E n s l i n;ɛnslin
batterymarch;b @ t E r\ i: m A r\ tS;bətɛɹiːmɑɹ?
dobrzynski;d @U b r\ @ Z I n s k i:;doʊbɹəʒɪnskiː
surrebuttal(2);s 3:r i: b @ 4 @ l;sɜ:riːbəɾəl
density;d E n s @ 4 i:;dɛnsəɾiː
morss;m O: r\ s;mOːɹs
rupture;r\ V p tS 3:r;ɹʌp?ɜ:r
ruecker;r\ u k 3:r;ɹukɜ:r
edelman's(2);eI 4 @ l m @ n z;?ɾəlmənz
democracies;d i m A k r\ @ s i: z;dimɑkɹəsiːz
chromium;k r\ @U m i: @ m;kɹoʊmiːəm
repealed;r\ i p i: l d;ɹipiːld
waltham;w O: l T @ m;wOːlθəm
sandhogs;s { n d h O: g z;sændhOːgz
trautwein;t r\ aU t w aI n;tɹ?tw?n
landgren;l { n d g r\ E n;lændgɹɛn
rakolta;r\ @ k A l t @;ɹəkɑltə
sheepish;S i: p i S;ʃiːpiʃ
alafi;@ l A f i:;əlɑfiː
equated;i k w eI 4 i d;ikw?ɾid
snickers;s n I k 3:r z;snɪkɜ:rz
fujimori's;f u dZ i: m O: r\ i: z;fu?iːmOːɹiːz
sano;s A n @U;sɑnoʊ
windshields;w I n d S i: l d z;wɪndʃiːldz
boissonneault;b w A s @ n @U;bwɑsənoʊ
demarzo;d i m A r\ z @U;dimɑɹzoʊ
schrader;S r\ eI 4 3:r;ʃɹ?ɾɜ:r
crouser;k r\ aU s 3:r;kɹ?sɜ:r
airlie;E r\ l i:;ɛɹliː
oughta;O: 4 @;Oːɾə
jesuits;dZ E Z u i t s;?ɛʒuits
zito;z i: 4 @U;ziːɾoʊ
tense;t E n s;tɛns
barbato;b A r\ b A 4 @U;bɑɹbɑɾoʊ
banesto;b @ n E s t @U;bənɛstoʊ
bacha;b { tS @;bæ?ə
reauthorization;r\ i: O: T 3:r i z eI S @ n;ɹiːOːθɜ:riz?ʃən
fizzling(2);f I z l i N;fɪzliŋ
mckissack;m @ k I s @ k;məkɪsək
pointed(2);p OI n @ d;p?nəd
polarography;p @U l 3:r A g r\ @ f i:;poʊlɜ:rɑgɹəfiː
fischer's;f I S 3:r z;fɪʃɜ:rz
deitch;d aI tS;d??
ravaging;r\ { v i dZ i N;ɹævi?iŋ
buchta;b V tS t @;bʌ?tə
vermeer;v 3:r m i r\;vɜ:rmiɹ
korns;k O: n z;kOːnz
